Type,Title,Authors,Journal,Publisher,DOI,Handle,"Publication Date",Citation,Abstract,"Link to License",Status,"Link to PDF","Link to Extracted Text","Metadata Last Modified"
Preprint,"MoStGAN-V: Video Generation with Temporal Motion Styles","Shen, Xiaoqian||Li, Xiang||Elhoseiny, Mohamed",,arXiv,,http://hdl.handle.net/10754/690987,2023-04-05,,"Video generation remains a challenging task due to spatiotemporal complexity and the requirement of synthesizing diverse motions with temporal consistency. Previous works attempt to generate videos in arbitrary lengths either in an autoregressive manner or regarding time as a continuous signal. However, they struggle to synthesize detailed and diverse motions with temporal coherence and tend to generate repetitive scenes after a few time steps. In this work, we argue that a single time-agnostic latent vector of style-based generator is insufficient to model various and temporally-consistent motions. Hence, we introduce additional time-dependent motion styles to model diverse motion patterns. In addition, a Motion Style Attention modulation mechanism, dubbed as MoStAtt, is proposed to augment frames with vivid dynamics for each specific scale (i.e., layer), which assigns attention score for each motion style w.r.t deconvolution filter weights in the target synthesis layer and softly attends different motion styles for weight modulation. Experimental results show our model achieves state-of-the-art performance on four unconditional 2562 video synthesis benchmarks trained with only 3 frames per clip and produces better qualitative results with respect to dynamic motions.",,"Under Review",https://repository.kaust.edu.sa/bitstream/10754/690987/1/2304.02777.pdf,https://repository.kaust.edu.sa/bitstream/handle/10754/690987/2304.02777.pdf.txt,2023-04-10T15:40:13
Preprint,"Markov properties of Gaussian random fields on compact metric graphs","Bolin, David||Simas, Alexandre B.||Wallin, Jonas",,arXiv,,http://hdl.handle.net/10754/690986,2023-04-06,,"There has recently been much interest in Gaussian processes on linear networks and more generally on compact metric graphs. One proposed strategy for defining such processes on a metric graph Γ is through a covariance function that is isotropic in a metric on the graph. Another is through a fractional order differential equation Lα(τu)=W on Γ, where L=κ2−∇(a∇) for (sufficiently nice) functions κ,a, and W is Gaussian white noise. We study Markov properties of these two types of fields. We first show that there are no Gaussian random fields on general metric graphs that are both isotropic and Markov. We then show that the second type of fields, the generalized Whittle--Matérn fields, are Markov if and only if α∈N, and if α∈N, the field is Markov of order α, which essentially means that the process in one region S⊂Γ is conditionally independent the process in Γ∖S given the values of the process and its α−1 derivatives on ∂S. Finally, we show that the Markov property implies an explicit characterization of the process on a fixed edge e, which in particular shows that the conditional distribution of the process on e given the values at the two vertices connected to e is independent of the geometry of Γ.",,"Under Review",https://repository.kaust.edu.sa/bitstream/10754/690986/1/2304.03190.pdf,https://repository.kaust.edu.sa/bitstream/handle/10754/690986/2304.03190.pdf.txt,2023-04-10T15:40:12
Preprint,"On the Stability and Characteristics of Biogas/Methane/Air Flames Fired by a Double Swirl Burner","Abdulnaim, A.||Elkholy, A.||Elmously, M.||Moneib, H.||Roberts, William L.||Elbaz, Ayman M.",,"Research Square Platform LLC",10.21203/rs.3.rs-2771485/v1,http://hdl.handle.net/10754/690985,2023-04-06,"Abdulnaim, A., Elkholy, A., Elmously, M., Moneib, H., Roberts, W. L., & Elbaz, A. M. (2023). On the Stability and Characteristics of Biogas/Methane/Air Flames Fired by a Double Swirl Burner. https://doi.org/10.21203/rs.3.rs-2771485/v1",,https://creativecommons.org/licenses/by/4.0/,"Under Review",https://repository.kaust.edu.sa/bitstream/10754/690985/1/de8e32d9-af64-4d90-a1f6-54cb9f01a03e.pdf,https://repository.kaust.edu.sa/bitstream/handle/10754/690985/de8e32d9-af64-4d90-a1f6-54cb9f01a03e.pdf.txt,2023-04-10T15:40:12
Preprint,"Scaling laws of the magnetic dynamics driven high harmonic generation in spin-orbit coupled systems","Ly, Ousmane",,arXiv,,http://hdl.handle.net/10754/690984,2023-04-05,,"The emergence of high order harmonics in carrier pumping from magnetic dynamics in the presence of spin-orbit coupling has been only recently predicted [{Phys. Rev. B \textbf{105}, L180415 (2022)}]. In this effect, the number of the excited high harmonics is found to scale up with the spin-orbit coupling parameter, the s-d exchange constant of the magnetic system and the frequency of the driving dynamics. Motivated by the reproduction of the above-mentioned effect, Nikolić and Manjarres [arXiv:2212.06895, arXiv:2112.14685] confirmed that there is indeed a generation of harmonics as a result of the interplay between magnetic dynamics and spin-orbit interaction if the exchange coupling J is taken very small (J=0.1γ). However, they claim that the ultrahigh harmonics obtained in the strong J limit can only be a result of numerical bugs. It turns out that in these works, conclusions built from numerical simulations performed in the perturbative limit (J/ℏω≈10) have been applied to criticize results obtained in the extremely high non-linear regime (J/ℏω>103). Regarding this fact, we find it necessary to shed light on many aspects related to the physics behind the predicted unconventional carrier pumping, in order to enlighten the readers of the proposed effect and at the same time the authors of the criticizing works. Here, we present numerical simulations of the scaling laws underlying the effect. We study the low s-d exchange coupling limit, corresponding to the regime studied in the above mentioned criticizing works. And further explore, the high s-d coupling regime where the extremely nonlinear emission is expected. Furthermore, we provide more insights on the effect and demonstrate its robustness and reproducibility in both 1D and 2D magnetic structures.",,"Under Review",https://repository.kaust.edu.sa/bitstream/10754/690984/1/2304.02619.pdf,https://repository.kaust.edu.sa/bitstream/handle/10754/690984/2304.02619.pdf.txt,2023-04-10T15:30:08
Preprint,"High-rate Reliable Communication using Multi-hop and Mesh THz/FSO Networks","Singya, Praveen Kumar||Makki, Behrooz||D'Errico, Antonio||Alouini, Mohamed-Slim",,arXiv,,http://hdl.handle.net/10754/690983,2023-04-04,,"In this work, we consider multi-hop and mesh hybrid teraHertz/free-space optics (THz/FSO)-based backhaul networks for high data-rate communications. The results are presented for the cases with both out-band integrated access and backhaul (IAB) and non-IAB based communication setups. We consider different deployments of the THz and FSO networks and consider both switching and combining methods between the hybrid FSO/THz links. We study the impact of atmospheric turbulence, atmospheric attenuation, and the pointing error on the FSO communication. The THz communication suffers from small scale fading, path-loss, and the misalignment error. Finally, we evaluate the effects of atmospheric attenuation/path-loss, pointing/misalignment error, small-scale fading, atmospheric turbulence, number of antennas, number of user equipments, number of hops, and the threshold data-rates on the performance of considered systems. As we show, with different network deployments and switching/combining methods, the hybrid implementation of the THz/FSO links improves the network reliability significantly.",,"Under Review",https://repository.kaust.edu.sa/bitstream/10754/690983/1/2304.01643%20%281%29.pdf,https://repository.kaust.edu.sa/bitstream/handle/10754/690983/2304.01643%20%281%29.pdf.txt,2023-04-10T15:30:08
Preprint,"Disruption of the rice 4-DEOXYOROBANCHOL HYDROXYLASE unravels specific functions of canonical strigolactones","Chen, Guan-Ting Erica||Wang, Jian You||Votta, Cristina||Braguy, Justine||Jamil, Muhammad||Kirschner, Gwendolyn Kristin||Fiorilli, Valentina||Berqdar, Lamis||Balakrishna, Aparna||Blilou, Ikram||Lanfranco, Luisa||Al-Babili, Salim",,"Cold Spring Harbor Laboratory",10.1101/2023.04.03.535333,http://hdl.handle.net/10754/690982,2023-04-04,"Chen, G.-T. E., Wang, J. Y., Votta, C., Braguy, J., Jamil, M., Kirschner, G. K., Fiorilli, V., Berqdar, L., Balakrishna, A., Blilou, I., Lanfranco, L., & Al-Babili, S. (2023). Disruption of the rice4-DEOXYOROBANCHOL HYDROXYLASEunravels specific functions of canonical strigolactones. https://doi.org/10.1101/2023.04.03.535333","Strigolactones (SLs) regulate many developmental processes, including shoot-branching/tillering, and mediate rhizospheric interactions. SLs are structurally diverse, divided into a canonical and a non-canonical sub-family. To better understand the biological function of particular SLs, we generated CRISPR/Cas9 mutants disrupted in OsMAX1-1400 or OsMAX1-1900, which encode cytochrome P450 enzymes (CYP711A clade) contributing to SL diversity. The disruption of OsMAX1-1900 did neither affect the SL pattern nor plant architecture, indicating a functional redundancy. In contrast, disruption of OsMAX1-1400 activity, a 4-deoxyorobanchol hydroxylase, led to a complete lack of orobanchol and an accumulation of its precursor 4-deoxyorobanchol (4DO), both of which are a canonical SLs common in different plant species, accompanied by higher levels of the non-canonical methyl 4-oxo-carlactonoate (4-oxo-MeCLA). Os1400 mutants showed also shorter plant height, panicle and panicle base length, but did not exhibit a tillering phenotype. Hormone quantification and transcriptome analysis revealed elevated auxin levels and changes in the expression of auxin-related, as well as of SL biosynthetic genes. Interestingly, the Os900/1400 double mutant lacking both orobanchol and 4DO did not show the observed Os1400 architectural phenotypes, indicating that they are a result of 4DO accumulation. A comparison of the mycorrhization and Striga seed germinating activity of Os900, Os900/1400, and Os1400 loss-of-function mutants demonstrates that the germination activity positively correlates with 4DO content while disrupting OsMAX1-1400 negatively impact mycorrhizal symbiosis. Taken together, our paper deciphers the biological function of canonical SLs in rice and depicts their particular contributions to establishing architecture and rhizospheric communications.",,"Under Review",https://repository.kaust.edu.sa/bitstream/10754/690982/1/2023.04.03.535333v1.full.pdf,https://repository.kaust.edu.sa/bitstream/handle/10754/690982/2023.04.03.535333v1.full.pdf.txt,2023-04-10T15:20:08
Preprint,"Co2-Activated Graphitic Nanoplatelets for Gas Storage Applications","Kim, Seok-Jin||Kim, Min Hui||Lee, Se Jung||Yavuz, Cafer T.||Jeon, In-Yup",,"Elsevier BV",10.2139/ssrn.4409124,http://hdl.handle.net/10754/690981,2023-04-04,"Kim, S., Kim, M. H., Lee, S. J., Yavuz, C. T., & Jeon, I.-Y. (2023). Co2-Activated Graphitic Nanoplatelets for Gas Storage Applications. https://doi.org/10.2139/ssrn.4409124","Graphitic nanoplatelets (GnPs), edge-selectively carboxylated graphitic nanoplatelets (ECGnPs), are functionalized with a carboxylic acid at the edge increasing their surface area, and are highly dispersible in various solvents. However, there is a limit in that the basal plane remains intact because it is functionalized only in the part where the radical is generated at the edge. Here, we activate ECGnPs to have porous structures by flowing CO2 at 900 °C. Etching of the ECGnPs structure was performed through the Boudouard reaction, and the surface area increased from 579 m2 g–1 to a maximum of 2462 m2 g–1. In addition, the pore structure was investigated with various adsorption gases (CH4, Ar, CO2, H2, and N2) according to the reaction time. This study provides the overall green chemistry in that it utilizes CO2 from manufacturing to activation compared to the process of activating with conventional chemical treatment.",,"Under Review",https://repository.kaust.edu.sa/bitstream/10754/690981/1/SSRN-id4409124.pdf,https://repository.kaust.edu.sa/bitstream/handle/10754/690981/SSRN-id4409124.pdf.txt,2023-04-10T15:10:07
Preprint,"Uncovering Sensor Faults in Wind Turbines: An Improved Multivariate Statistical Approach for Condition Monitoring Using Scada Data","Harrou, Fouzi||Kini, Ramakrishna K.||Madakyaru, Muddu||Sun, Ying",,"Elsevier BV",10.2139/ssrn.4409036,http://hdl.handle.net/10754/690980,2023-04-04,"Harrou, F., Kini, R. K., Madakyaru, M., & Sun, Y. (2023). Uncovering Sensor Faults in Wind Turbines: An Improved Multivariate Statistical Approach for Condition Monitoring Using Scada Data. https://doi.org/10.2139/ssrn.4409036","Fault detection in wind turbines is a critical aspect of maintaining the safety and reliability of wind energy systems. Wind turbines are complex systems that are subject to a wide range of potential faults, including mechanical failures, electrical malfunctions, and software errors. These faults can lead to a decrease in power production and a reduction in the lifetime of the turbine, as well as an increase in the risk of accidents and equipment damage. This paper presents a semi-supervised data-driven approach to detect sensor faults in wind turbines based on supervisory control and data acquisition (SCADA) data. The proposed approach combines independent component analysis (ICA) benefits with the Kantorovich Distance (KD)-base fault detection scheme. Specifically, ICA can efficiently handle multivariate nonGaussian data, and the KD scheme is an effective fault detection indicator to assess the ICA residuals. The ICA-based KD scheme needs only fault-free data in training, making it more attractive for fault detection in practice. Kernel density estimation is employed to compute the detection threshold of the KD scheme, making it more flexible. To assess the detection capacity of this approach, several sensor faults are simulated based on real data from a wind turbine in France. Results demonstrated a high detection performance of the ICA-KD scheme with an averaged F1-score of around 0.96% and outperformed the conventional approaches.",,"Under Review",https://repository.kaust.edu.sa/bitstream/10754/690980/1/SSRN-id4409036.pdf,https://repository.kaust.edu.sa/bitstream/handle/10754/690980/SSRN-id4409036.pdf.txt,2023-04-10T15:00:08
"Conference Paper","How We Express Ourselves Freely: Censorship, Self-censorship, and Anti-censorship on a Chinese Social Media","Chen, Xiang||Xie, Jiamu||Wang, Zixin||Shen, Bohui||Zhou, Zhixuan",,"Springer Nature Switzerland",10.1007/978-3-031-28032-0_8,http://hdl.handle.net/10754/690979,2023-03-10,"Chen, X., Xie, J., Wang, Z., Shen, B., & Zhou, Z. (2023). How We Express Ourselves Freely: Censorship, Self-censorship, and Anti-censorship on a Chinese Social Media. Information for a Better World: Normality, Virtuality, Physicality, Inclusivity, 93–108. https://doi.org/10.1007/978-3-031-28032-0_8","Censorship, anti-censorship, and self-censorship in an authoritarian regime have been extensively studies, yet the relationship between these intertwined factors is not well understood. In this paper, we report results of a large-scale survey study (N= 526 ) with Sina Weibo users toward bridging this research gap. Through descriptive statistics, correlation analysis, and regression analysis, we uncover how users are being censored, how and why they conduct self-censorship on different topics and in different scenarios (i.e., post, repost, and comment), and their various anti-censorship strategies. We further identify the metrics of censorship and self-censorship, find the influence factors, and construct a mediation model to measure their relationship. Based on these findings, we discuss implications for democratic social media design and future censorship research.",,Published,,,2023-04-10T14:40:07
"Conference Paper","A Parallel Adaptive Finite Element Method for Modeling a Deformable Droplet Travelling in Air","Luo, Li||Cai, Xiao Chuan||Keyes, David E.",,"Springer International Publishing",10.1007/978-3-030-95025-5_16,http://hdl.handle.net/10754/690978,2023-03-16,"Luo, L., Cai, X.-C., & Keyes, D. E. (2022). A Parallel Adaptive Finite Element Method for Modeling a Deformable Droplet Travelling in Air. Lecture Notes in Computational Science and Engineering, 169–176. https://doi.org/10.1007/978-3-030-95025-5_16","Violent respiratory events such as coughing and sneezing can contribute to the transmission of infectious diseases from host to host. The dynamics of droplet transfer between individuals and the range of contamination are extremely complex and remain unclear [3]. Studying the fluid dynamics of pathogen-laden droplets is critically important to controlling the covid19 pandemic.",,Published,,,2023-04-10T14:20:12
Article,"Seasonality of methane and carbon dioxide emissions in tropical seagrass and unvegetated ecosystems","Saderne, Vincent||Dunne, Aislinn Francesca||Rich, Walter A.||Cadiz, Ronald||Carvalho, Susana||Curdia, Joao||Kattan, Alexander","Communications Earth & Environment","Springer Science and Business Media LLC",10.1038/s43247-023-00759-9,http://hdl.handle.net/10754/690977,2023-03-31,"Saderne, V., Dunne, A. F., Rich, W. A., Cadiz, R., Carvalho, S., Cúrdia, J., & Kattan, A. (2023). Seasonality of methane and carbon dioxide emissions in tropical seagrass and unvegetated ecosystems. Communications Earth & Environment, 4(1). https://doi.org/10.1038/s43247-023-00759-9","Seagrass ecosystems are important carbon dioxide sinks that can sequester carbon for centuries as organic matter in sediment. They are also a major source of methane, a potent greenhouse gas, which limits their carbon sink capacity. However, data are lacking on their methane emission dynamics. Here, we conduct a one-year survey of carbon dioxide and methane concentrations and air-sea fluxes in Red Sea seagrass, mudflat, and coral backreef ecosystems. All ecosystems were sources of methane and carbon dioxide. Methane concentrations were lowest in the reef lagoon. We suggest that lagoons may be a globally important source of greenhouse gases. Methane concentrations were lower in seagrass than mudflat ecosystems at temperatures below 29.2 °C. Seagrass had the highest annual methane air-sea fluxes but the lowest global warming potential in carbon dioxide equivalent due to a decrease in its flux. Hence, seagrasses can help climate change mitigation compared to bare sediments.",https://creativecommons.org/licenses/by/4.0,Published,https://repository.kaust.edu.sa/bitstream/10754/690977/1/s43247-023-00759-9.pdf,https://repository.kaust.edu.sa/bitstream/handle/10754/690977/s43247-023-00759-9.pdf.txt,2023-04-10T14:20:11
Article,"Monolithic β-Ga2O3 NMOS IC based on heteroepitaxial E-mode MOSFETs","Khandelwal, Vishal||Yuvaraja, Saravanan||García, Glen Isaac Maciel||Wang, Chuanju||Lu, Yi||AlQatari, Feras S.||Li, Xiaohang","Applied Physics Letters","AIP Publishing",10.1063/5.0143315,http://hdl.handle.net/10754/690976,2023-04-03,"Khandelwal, V., Yuvaraja, S., García, G. I. M., Wang, C., Lu, Y., AlQatari, F., & Li, X. (2023). Monolithic β-Ga2O3 NMOS IC based on heteroepitaxial E-mode MOSFETs. Applied Physics Letters, 122(14), 143502. https://doi.org/10.1063/5.0143315","In this Letter, we report on a monolithically integrated β-Ga2O3 NMOS inverter integrated circuit (IC) based on heteroepitaxial enhancement mode (E-mode) β-Ga2O3 metal-oxide-semiconductor field-effect transistors on low-cost sapphire substrates. A gate recess technique was employed to deplete the channel for E-mode operation. The E-mode devices showed an on-off ratio of ∼105 with a threshold voltage of 3 V. In comparison, control devices without the gate recess exhibited a depletion mode (D-mode) with a threshold voltage of −3.8 V. Furthermore, depletion-load NMOS inverter ICs were fabricated by monolithically integrating D- and E-mode transistors on the same substrate. These NMOS ICs demonstrated inverter logic operation with a voltage gain of 2.5 at VDD = 9 V, comparable with recent GaN and other wide-bandgap semiconductor-based inverters. This work lays the foundation for heteroepitaxial low-cost and scalable β-Ga2O3 ICs for monolithic integration with (ultra)wide bandgap Ga2O3 power devices.",https://creativecommons.org/licenses/by/4.0/,Published,https://repository.kaust.edu.sa/bitstream/10754/690976/1/5.0143315_removed.pdf,https://repository.kaust.edu.sa/bitstream/handle/10754/690976/5.0143315_removed.pdf.txt,2023-04-10T14:10:11
Article,"Quantitative haplotype-resolved analysis of mitochondrial DNA heteroplasmy in Human single oocytes, blastoids, and pluripotent stem cells","Bi, Chongwei||Wang, Lin||Fan, Yong||Yuan, Baolei||Alsolami, Samhan M.||Zhang, Yingzi||Zhang, Pu-Yao||Huang, Yanyi||Yu, Yang||Belmonte, Juan Carlos Izpisua||Li, Mo","Nucleic Acids Research","Oxford University Press (OUP)",10.1093/nar/gkad209,http://hdl.handle.net/10754/690975,2023-04-04,"Bi, C., Wang, L., Fan, Y., Yuan, B., Alsolami, S., Zhang, Y., Zhang, P.-Y., Huang, Y., Yu, Y., Izpisua Belmonte, J. C., & Li, M. (2023). Quantitative haplotype-resolved analysis of mitochondrial DNA heteroplasmy in Human single oocytes, blastoids, and pluripotent stem cells. Nucleic Acids Research. https://doi.org/10.1093/nar/gkad209","Maternal mitochondria are the sole source of mtDNA for every cell of the offspring. Heteroplasmic mtDNA mutations inherited from the oocyte are a common cause of metabolic diseases and associated with late-onset diseases. However, the origin and dynamics of mtDNA heteroplasmy remain unclear. We used our individual Mitochondrial Genome sequencing (iMiGseq) technology to study mtDNA heterogeneity, quantitate single nucleotide variants (SNVs) and large structural variants (SVs), track heteroplasmy dynamics, and analyze genetic linkage between variants at the individual mtDNA molecule level in single oocytes and human blastoids. Our study presented the first single-mtDNA analysis of the comprehensive heteroplasmy landscape in single human oocytes. Unappreciated levels of rare heteroplasmic variants well below the detection limit of conventional methods were identified in healthy human oocytes, of which many are reported to be deleterious and associated with mitochondrial disease and cancer. Quantitative genetic linkage analysis revealed dramatic shifts of variant frequency and clonal expansions of large SVs during oogenesis in single-donor oocytes. iMiGseq of a single human blastoid suggested stable heteroplasmy levels during early lineage differentiation of naïve pluripotent stem cells. Therefore, our data provided new insights of mtDNA genetics and laid a foundation for understanding mtDNA heteroplasmy at early stages of life.",https://creativecommons.org/licenses/by-nc/4.0/,Published,https://repository.kaust.edu.sa/bitstream/10754/690975/1/gkad209.pdf,https://repository.kaust.edu.sa/bitstream/handle/10754/690975/gkad209.pdf.txt,2023-04-10T14:10:10
Article,"Bayesian spatial modeling of childhood overweight and obesity prevalence in Costa Rica","Gómez, Mario J.||Barboza, Luis A.||Vásquez, Paola||Moraga, Paula","BMC Public Health","Springer Science and Business Media LLC",10.1186/s12889-023-15486-1,http://hdl.handle.net/10754/690974,2023-04-05,"Gómez, M. J., Barboza, L. A., Vásquez, P., & Moraga, P. (2023). Bayesian spatial modeling of childhood overweight and obesity prevalence in Costa Rica. BMC Public Health, 23(1). https://doi.org/10.1186/s12889-023-15486-1","Background: Childhood overweight and obesity levels are rising and becoming a concern globally. In Costa Rica, the prevalence of these conditions has reached alarming values. Spatial analyses can identify risk factors and geographical patterns to develop tailored and effective public health actions in this context. Methods: A Bayesian spatial mixed model was built to understand the geographic patterns of childhood overweight and obesity prevalence in Costa Rica and their association with some socioeconomic factors. Data was obtained from the 2016 Weight and Size Census (6 - 12 years old children) and 2011 National Census. Results: Average years of schooling increase the levels of overweight and obesity until reaching an approximate value of 8 years, then they start to decrease. Moreover, for every 10-point increment in the percentage of homes with difficulties to cover their basic needs and in the percentage of population under 14 years old, there is a decrease of 7.7 and 14.0 points, respectively, in the odds of obesity. Spatial patterns show higher values of prevalence in the center area of the country, touristic destinations, head of province districts and in the borders with Panama. Conclusions: Especially for childhood obesity, the average years of schooling is a non-linear factor, describing a U-inverted curve. Lower percentages of households in poverty and population under 14 years old are slightly associated with higher levels of obesity. Districts with high commercial and touristic activity present higher prevalence risk.",https://creativecommons.org/licenses/by/4.0,Published,https://repository.kaust.edu.sa/bitstream/10754/690974/1/s12889-023-15486-1.pdf,https://repository.kaust.edu.sa/bitstream/handle/10754/690974/s12889-023-15486-1.pdf.txt,2023-04-10T13:50:12
Article,"Toll-Like Receptor 3 Mediates Aortic Stenosis Through a Conserved Mechanism of Calcification.","Gollmann-Tepeköylü, Can||Graber, Michael||Hirsch, Jakob||Mair, Sophia||Naschberger, Andreas||Pölzl, Leo||Pölzl, Leo||Nägele, Felix||Kirchmair, Elke||Degenhart, Gerald||Demetz, Egon||Hilbe, Richard||Chen, Hao-Yu||Engert, James C||Böhm, Anna||Franz, Nadja||Lobenwein, Daniela||Lener, Daniela||Fuchs, Christiane||Weihs, Anna||Töchterle, Sonja||Vogel, Georg F||Schweiger, Victor||Eder, Jonas||Pietschmann, Peter||Seifert, Markus||Kronenberg, Florian||Coassin, Stefan||Blumer, Michael||Hackl, Hubert||Meyer, Dirk||Feuchtner, Gudrun||Kirchmair, Rudolf||Troppmair, Jakob||Krane, Markus||Weiss, Günther||Tsimikas, Sotirios||Thanassoulis, George||Grimm, Michael||Rupp, Bernhard||Huber, Lukas A||Zhang, Shen-Ying||Casanova, Jean-Laurent||Tancevski, Ivan||Holfeld, Johannes",Circulation,"Ovid Technologies (Wolters Kluwer Health)",10.1161/circulationaha.122.063481,http://hdl.handle.net/10754/690971,2023-04-04,"Gollmann-Tepeköylü, C., Graber, M., Hirsch, J., Mair, S., Naschberger, A., Pölzl, L., Nägele, F., Kirchmair, E., Degenhart, G., Demetz, E., Hilbe, R., Chen, H.-Y., Engert, J. C., Böhm, A., Franz, N., Lobenwein, D., Lener, D., Fuchs, C., Weihs, A., … Holfeld, J. (2023). Toll-Like Receptor 3 Mediates Aortic Stenosis Through a Conserved Mechanism of Calcification. Circulation. https://doi.org/10.1161/circulationaha.122.063481","BACKGROUND: Calcific aortic valve disease (CAVD) is characterized by a phenotypic switch of valvular interstitial cells to bone-forming cells. Toll-like receptors (TLRs) are evolutionarily conserved pattern recognition receptors at the interface between innate immunity and tissue repair. Type I interferons (IFNs) are not only crucial for an adequate antiviral response but also implicated in bone formation. We hypothesized that the accumulation of endogenous TLR3 ligands in the valvular leaflets may promote the generation of osteoblast-like cells through enhanced type I IFN signaling. METHODS: Human valvular interstitial cells isolated from aortic valves were challenged with mechanical strain or synthetic TLR3 agonists and analyzed for bone formation, gene expression profiles, and IFN signaling pathways. Different inhibitors were used to delineate the engaged signaling pathways. Moreover, we screened a variety of potential lipids and proteoglycans known to accumulate in CAVD lesions as potential TLR3 ligands. Ligand-receptor interactions were characterized by in silico modeling and verified through immunoprecipitation experiments. Biglycan (Bgn), Tlr3, and IFN-α/β receptor alpha chain (Ifnar1)–deficient mice and a specific zebrafish model were used to study the implication of the byglycan (BGN)-TLR3-IFN axis in both CAVD and bone formation in vivo. Two large-scale cohorts (GERA [Genetic Epidemiology Research on Adult Health and Aging], n=55 192 with 3469 aortic stenosis cases; UK Biobank, n=257 231 with 2213 aortic stenosis cases) were examined for genetic variation at genes implicated in BGN-TLR3-IFN signaling associating with CAVD in humans. RESULTS: Here, we identify TLR3 as a central molecular regulator of calcification in valvular interstitial cells and unravel BGN as a new endogenous agonist of TLR3. Posttranslational BGN maturation by xylosyltransferase 1 (XYLT1) is required for TLR3 activation. Moreover, BGN induces the transdifferentiation of valvular interstitial cells into bone-forming osteoblasts through the TLR3-dependent induction of type I IFNs. It is intriguing that Bgn−/−, Tlr3−/−, and Ifnar1−/− mice are protected against CAVD and display impaired bone formation. Meta-analysis of 2 large-scale cohorts with >300 000 individuals reveals that genetic variation at loci relevant to the XYLT1–BGN–TLR3–interferon-α/β receptor alpha chain (IFNAR) 1 pathway is associated with CAVD in humans. CONCLUSIONS: This study identifies the BGN-TLR3-IFNAR1 axis as an evolutionarily conserved pathway governing calcification of the aortic valve and reveals a potential therapeutic target to prevent CAVD.",,Published,,,2023-04-10T11:50:06
Article,"Mpox virus infects and injures human kidney organoids, but responding to antiviral treatment","Li, Pengfei||Du, Zhaoyu||Lamers, Mart M||Incitti, Roberto||Tejeda-Mora, Hector||Li, Shengbing||Schraauwen, Rick||van den Bosch, Thierry P P||de Vries, Annemarie C||Alam, Intikhab||Haagmans, Bart L||Hoogduijn, Martin J||Pan, Qiuwei","Cell discovery","Springer Science and Business Media LLC",10.1038/s41421-023-00545-z,http://hdl.handle.net/10754/690970,2023-04-03,"Li, P., Du, Z., Lamers, M. M., Incitti, R., Tejeda-Mora, H., Li, S., Schraauwen, R., van den Bosch, T. P. P., de Vries, A. C., Alam, I. S., Haagmans, B. L., Hoogduijn, M. J., & Pan, Q. (2023). Mpox virus infects and injures human kidney organoids, but responding to antiviral treatment. Cell Discovery, 9(1). https://doi.org/10.1038/s41421-023-00545-z",,https://creativecommons.org/licenses/by/4.0,Published,https://repository.kaust.edu.sa/bitstream/10754/690970/1/s41421-023-00545-z.pdf,https://repository.kaust.edu.sa/bitstream/handle/10754/690970/s41421-023-00545-z.pdf.txt,2023-04-10T11:10:06
Article,"Nanoscale temperature sensing of electronic devices with calibrated scanning thermal microscopy","Swoboda, Timm||Wainstein, Nicolás||Deshmukh, Sanchit||Köroğlu, Çağıl||Gao, Xing||Lanza, Mario||Hilgenkamp, Hans||Pop, Eric||Yalon, Eilam||Muñoz-Rojo, Miguel",Nanoscale,"Royal Society of Chemistry (RSC)",10.1039/d3nr00343d,http://hdl.handle.net/10754/690969,2023-03-23,"Swoboda, T., Wainstein, N., Deshmukh, S., Köroğlu, Ç., Gao, X., Lanza, M., Hilgenkamp, H., Pop, E., Yalon, E., & Muñoz Rojo, M. (2023). Nanoscale temperature sensing of electronic devices with calibrated scanning thermal microscopy. Nanoscale. https://doi.org/10.1039/d3nr00343d","Heat dissipation threatens the performance and lifetime of many electronic devices. As the size of devices shrinks to the nanoscale, we require spatially and thermally resolved thermometry to observe their fine thermal features. Scanning thermal microscopy (SThM) has proven to be a versatile measurement tool for characterizing the temperature at the surface of devices with nanoscale resolution. SThM can obtain qualitative thermal maps of a device using an operating principle based on a heat exchange process between a thermo-sensitive probe and the sample surface. However, the quantification of these thermal features is one of the most challenging parts of this technique. Developing reliable calibration approaches for SThM is therefore an essential aspect to accurately determine the temperature at the surface of a sample or device. In this work, we calibrate a thermo-resistive SThM probe using heater-thermometer metal lines with different widths (50 nm to 750 nm), which mimic variable probe-sample thermal exchange processes. The sensitivity of the SThM probe when scanning the metal lines is also evaluated under different probe and line temperatures. Our results reveal that the calibration factor depends on the probe measuring conditions and on the size of the surface heating features. This approach is validated by mapping the temperature profile of a phase change electronic device. Our analysis provides new insights on how to convert the thermo-resistive SThM probe signal to the scanned device temperature more accurately.",http://creativecommons.org/licenses/by/3.0/,Published,https://repository.kaust.edu.sa/bitstream/10754/690969/1/d3nr00343d.pdf,https://repository.kaust.edu.sa/bitstream/handle/10754/690969/d3nr00343d.pdf.txt,2023-04-10T11:00:09
